10:30:13.110 [ApplicationImpl pooled thread 158] INFO  com.browserstack.utils.Helpers - null
10:30:13.111 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:31:35.738 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:31:35.738 [ApplicationImpl pooled thread 160] INFO  com.browserstack.utils.Helpers - null
10:31:35.739 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:32:07.324 [ApplicationImpl pooled thread 162] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:32:07.324 [ApplicationImpl pooled thread 162] INFO  com.browserstack.utils.Helpers - null
10:32:07.325 [ApplicationImpl pooled thread 162] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:32:43.634 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:32:43.634 [ApplicationImpl pooled thread 161] INFO  com.browserstack.utils.Helpers - null
10:32:43.635 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:34:55.292 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:34:55.292 [ApplicationImpl pooled thread 161] INFO  com.browserstack.utils.Helpers - null
10:34:55.294 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:36:59.607 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:36:59.607 [ApplicationImpl pooled thread 161] INFO  com.browserstack.utils.Helpers - null
10:36:59.610 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:38:52.544 [ApplicationImpl pooled thread 169] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:38:52.545 [ApplicationImpl pooled thread 169] INFO  com.browserstack.utils.Helpers - null
10:38:52.547 [ApplicationImpl pooled thread 169] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:40:46.991 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:40:46.991 [ApplicationImpl pooled thread 170] INFO  com.browserstack.utils.Helpers - null
10:40:46.994 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:43:02.510 [ApplicationImpl pooled thread 169] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:43:02.510 [ApplicationImpl pooled thread 169] INFO  com.browserstack.utils.Helpers - null
